Date mutation;Quartier;Valeur fonciere;Code departement;Surface reelle bati;Nombre pieces principales;Prix au m2 (Surface bati)
2021-06-24;Est-Nord;130000.0;75;15.0;1.0;8667
2021-06-24;Est-Nord;304500.0;75;30.0;1.0;10150
2021-06-24;Est-Nord;210000.0;75;26.0;1.0;8077
2021-09-02;Est-Nord;32000.0;75;23.0;1.0;1391
2021-02-04;Est-Nord;296500.0;75;23.0;1.0;12891
2021-10-13;Est-Nord;257500.0;75;21.0;1.0;12262
2021-02-08;Est-Nord;330000.0;75;30.0;1.0;11000
2021-02-19;Est-Nord;170000.0;75;10.0;1.0;17000
2021-06-09;Est-Nord;225000.0;75;34.0;1.0;6618
2021-06-17;Est-Nord;261000.0;75;21.0;1.0;12429
2021-06-22;Est-Nord;356350.0;75;31.0;1.0;11495
2021-02-17;Est-Nord;200000.0;75;32.0;1.0;6250
2021-02-05;Est-Nord;120000.0;75;16.0;1.0;7500
2021-02-22;Est-Nord;411156.9;75;9.0;1.0;45684
2021-06-25;Est-Nord;940000.0;75;14.0;1.0;67143
2021-06-28;Est-Nord;244000.0;75;14.0;1.0;17429
2021-06-28;Est-Nord;244000.0;75;9.0;1.0;27111
2021-06-04;Est-Nord;185000.0;75;19.0;1.0;9737
2021-10-04;Est-Nord;313943.0;75;20.0;1.0;15697
2021-06-24;Est-Nord;310000.0;75;31.0;1.0;10000
2021-06-04;Est-Nord;185000.0;75;21.0;1.0;8810
2021-02-04;Est-Nord;342500.0;75;32.0;1.0;10703
2021-06-25;Est-Nord;259500.0;75;32.0;1.0;8109
2021-02-22;Est-Nord;411156.9;75;19.0;1.0;21640
2021-02-15;Est-Nord;48000.0;75;20.0;1.0;2400
2021-02-11;Est-Nord;730000.0;75;23.0;1.0;31739
2021-06-18;Est-Nord;170000.0;75;20.0;1.0;8500
2021-02-11;Est-Nord;730000.0;75;12.0;1.0;60833
2021-02-11;Est-Nord;205000.0;75;14.0;1.0;14643
2021-02-25;Est-Nord;233060.0;75;15.0;1.0;15537
2021-06-30;Est-Nord;147170.0;75;10.0;1.0;14717
2021-02-15;Est-Nord;237500.0;75;24.0;1.0;9896
2021-02-25;Est-Nord;190000.0;75;18.0;1.0;10556
2021-06-28;Est-Nord;377000.0;75;40.0;1.0;9425
2021-10-09;Est-Nord;270000.0;75;30.0;1.0;9000
2021-02-16;Est-Nord;615000.0;75;42.0;1.0;14643
2021-02-01;Est-Nord;1341291.2;75;33.0;1.0;40645
2021-10-08;Est-Nord;1.0;75;30.0;1.0;0
2021-02-05;Est-Nord;261450.0;75;26.0;1.0;10056
2021-06-28;Est-Nord;256000.0;75;30.0;1.0;8533
2021-01-26;Est-Nord;298350.0;75;26.0;1.0;11475
2021-09-28;Est-Nord;570000.0;75;60.0;1.0;9500
2021-06-23;Est-Nord;280000.0;75;27.0;1.0;10370
2021-01-26;Est-Nord;385000.0;75;25.0;1.0;15400
2021-06-04;Est-Nord;179000.0;75;14.0;1.0;12786
2021-06-23;Est-Nord;288000.0;75;26.0;1.0;11077
2021-06-21;Est-Nord;250000.0;75;21.0;1.0;11905
2021-01-28;Est-Nord;40000.0;75;8.0;1.0;5000
2021-02-09;Est-Nord;170000.0;75;14.0;1.0;12143
2021-01-28;Est-Nord;63000.0;75;13.0;1.0;4846
