Date mutation;Quartier;Valeur fonciere;Code departement;Surface reelle bati;Nombre pieces principales;Prix au m2 (Surface bati)
9;Ouest-Sud;345000.0;75;24.0;1.0;14375
2;Ouest-Sud;286000.0;75;17.0;1.0;16824
2;Ouest-Sud;158000.0;75;16.0;1.0;9875
2;Ouest-Sud;237500.0;75;23.0;1.0;10326
9;Ouest-Sud;610000.0;75;31.0;1.0;19677
9;Ouest-Sud;115000.0;75;11.0;1.0;10455
9;Ouest-Sud;205000.0;75;19.0;1.0;10789
3;Ouest-Sud;265000.0;75;25.0;1.0;10600
9;Ouest-Sud;164000.0;75;10.0;1.0;16400
2;Ouest-Sud;225000.0;75;26.0;1.0;8654
2;Ouest-Sud;380000.0;75;32.0;1.0;11875
9;Ouest-Sud;206000.0;75;27.0;1.0;7630
9;Ouest-Sud;496000.0;75;33.0;1.0;15030
2;Ouest-Sud;325000.0;75;27.0;1.0;12037
9;Ouest-Sud;1520000.0;75;65.0;1.0;23385
9;Ouest-Sud;290000.0;75;17.0;1.0;17059
2;Ouest-Sud;129000.0;75;10.0;1.0;12900
9;Ouest-Sud;554450.0;75;45.0;1.0;12321
2;Ouest-Sud;230000.0;75;19.0;1.0;12105
9;Ouest-Sud;200000.0;75;9.0;1.0;22222
2;Ouest-Sud;54180.0;75;12.0;1.0;4515
2;Ouest-Sud;175000.0;75;16.0;1.0;10938
1;Ouest-Sud;164000.0;75;13.0;1.0;12615
9;Ouest-Sud;237000.0;75;25.0;1.0;9480
9;Ouest-Sud;355000.0;75;33.0;1.0;10758
2;Ouest-Sud;150000.0;75;32.0;1.0;4688
9;Ouest-Sud;440000.0;75;47.0;1.0;9362
2;Ouest-Sud;827400.0;75;35.0;1.0;23640
2;Ouest-Sud;430000.0;75;38.0;1.0;11316
10;Ouest-Sud;140000.0;75;14.0;1.0;10000
9;Ouest-Sud;308000.0;75;29.0;1.0;10621
9;Ouest-Sud;315000.0;75;26.0;1.0;12115
9;Ouest-Sud;280000.0;75;28.0;1.0;10000
9;Ouest-Sud;145255.0;75;10.0;1.0;14526
9;Ouest-Sud;307900.0;75;24.0;1.0;12829
9;Ouest-Sud;350000.0;75;33.0;1.0;10606
9;Ouest-Sud;455110.0;75;34.0;1.0;13386
2;Ouest-Sud;278500.0;75;23.0;1.0;12109
2;Ouest-Sud;205000.0;75;14.0;1.0;14643
9;Ouest-Sud;486000.0;75;52.0;1.0;9346
2;Ouest-Sud;196000.0;75;23.0;1.0;8522
9;Ouest-Sud;162000.0;75;20.0;1.0;8100
2;Ouest-Sud;3150.0;75;36.0;1.0;88
9;Ouest-Sud;305000.0;75;26.0;1.0;11731
9;Ouest-Sud;245000.0;75;23.0;1.0;10652
9;Ouest-Sud;420000.0;75;30.0;1.0;14000
2;Ouest-Sud;200000.0;75;13.0;1.0;15385
9;Ouest-Sud;190000.0;75;16.0;1.0;11875
2;Ouest-Sud;257680.0;75;22.0;1.0;11713
9;Ouest-Sud;760000.0;75;12.0;1.0;63333
9;Ouest-Sud;760000.0;75;15.0;1.0;50667
2;Ouest-Sud;194300.0;75;21.0;1.0;9252
9;Ouest-Sud;155500.0;75;11.0;1.0;14136
9;Ouest-Sud;270000.0;75;21.0;1.0;12857
2;Ouest-Sud;250000.0;75;23.0;1.0;10870
9;Ouest-Sud;232000.0;75;17.0;1.0;13647
2;Ouest-Sud;399400.0;75;38.0;1.0;10511
2;Ouest-Sud;268000.0;75;29.0;1.0;9241
2;Ouest-Sud;140000.0;75;15.0;1.0;9333
9;Ouest-Sud;78500.0;75;9.0;1.0;8722
9;Ouest-Sud;276500.0;75;27.0;1.0;10241
9;Ouest-Sud;120000.0;75;10.0;1.0;12000
9;Ouest-Sud;90000.0;75;22.0;1.0;4091
9;Ouest-Sud;275000.0;75;22.0;1.0;12500
9;Ouest-Sud;194000.0;75;10.0;1.0;19400
3;Ouest-Sud;152000.0;75;12.0;1.0;12667
9;Ouest-Sud;249405.0;75;14.0;1.0;17815
9;Ouest-Sud;130000.0;75;12.0;1.0;10833
9;Ouest-Sud;278000.0;75;24.0;1.0;11583
3;Ouest-Sud;374000.0;75;34.0;1.0;11000
9;Ouest-Sud;330000.0;75;31.0;1.0;10645
9;Ouest-Sud;377650.0;75;21.0;1.0;17983
