Date mutation;Region;Valeur fonciere;Surface reelle bati;Nombre pieces principales;Prix au m2 (Surface bati)
2021-07-08;Normandie;528161.0;59.0;3.0;8349.0
2021-07-09;Normandie;116107.0;58.0;3.0;2188.0
2021-07-10;Normandie;84103.0;62.0;3.0;1290.0
2021-07-12;Normandie;137238.0;62.0;3.0;2778.0
2021-07-13;Normandie;148183.0;65.0;3.0;2268.0
2021-07-15;Normandie;151800.0;73.0;3.0;2139.0
2021-07-16;Normandie;122426.0;57.0;3.0;2614.0
2021-07-17;Normandie;75950.0;56.0;2.0;1400.0
2021-07-19;Normandie;165989.0;72.0;3.0;2551.0
2021-07-20;Normandie;130253.0;55.0;2.0;2345.0
2021-07-21;Normandie;123266.0;56.0;3.0;2039.0
2021-07-22;Normandie;131705.0;62.0;3.0;2178.0
2021-07-23;Normandie;284412.0;55.0;3.0;4805.0
2021-07-24;Normandie;105500.0;54.0;2.0;1880.0
2021-07-26;Normandie;127722.0;67.0;3.0;2051.0
2021-07-27;Normandie;114168.0;58.0;3.0;2133.0
2021-07-28;Normandie;138456.0;55.0;2.0;2583.0
2021-07-29;Normandie;137796.0;63.0;3.0;2275.0
2021-07-30;Normandie;171414.0;46.0;2.0;6418.0
2021-07-31;Normandie;92580.0;41.0;2.0;2357.0
2021-08-02;Normandie;165372.0;59.0;3.0;2710.0
2021-08-03;Normandie;126723.0;57.0;2.0;2493.0
2021-08-04;Normandie;130857.0;59.0;3.0;2411.0
2021-08-05;Normandie;126810.0;43.0;2.0;3797.0
2021-08-06;Normandie;123090.0;54.0;2.0;2204.0
2021-08-07;Normandie;198000.0;54.0;3.0;3667.0
2021-08-09;Normandie;94207.0;50.0;2.0;2102.0
2021-08-10;Normandie;93858.0;44.0;2.0;2699.0
2021-08-11;Normandie;111218.0;52.0;2.0;2312.0
2021-08-12;Normandie;113962.0;38.0;2.0;3559.0
2021-08-13;Normandie;118564.0;57.0;3.0;2246.0
2021-08-14;Normandie;83000.0;54.0;3.0;1622.0
2021-08-16;Normandie;163125.0;71.0;3.0;2459.0
2021-08-17;Normandie;106227.0;58.0;2.0;1828.0
2021-08-18;Normandie;101694.0;51.0;3.0;2015.0
2021-08-19;Normandie;151215.0;61.0;3.0;2508.0
2021-08-20;Normandie;106989.0;45.0;2.0;2440.0
2021-08-21;Normandie;105000.0;19.0;1.0;5526.0
2021-08-23;Normandie;142185.0;60.0;3.0;2628.0
2021-08-24;Normandie;95650.0;47.0;2.0;2047.0
2021-08-25;Normandie;99279.0;47.0;2.0;2115.0
2021-08-26;Normandie;146380.0;61.0;3.0;2613.0
2021-08-27;Normandie;125262.0;51.0;2.0;2407.0
2021-08-28;Normandie;86250.0;46.0;2.0;1808.0
2021-08-30;Normandie;146362.0;69.0;3.0;2120.0
2021-08-31;Normandie;160850.0;52.0;2.0;4308.0
2021-09-01;Normandie;131063.0;54.0;2.0;2667.0
2021-09-02;Normandie;145340.0;66.0;3.0;2072.0
2021-09-03;Normandie;110672.0;51.0;2.0;2382.0
2021-09-04;Normandie;122752.0;55.0;3.0;2568.0
2021-09-06;Normandie;143683.0;65.0;3.0;2498.0
2021-09-07;Normandie;178770.0;44.0;2.0;5320.0
2021-09-08;Normandie;107642.0;55.0;2.0;2102.0
2021-09-09;Normandie;256648.0;45.0;2.0;7371.0
2021-09-10;Normandie;116848.0;50.0;2.0;2500.0
2021-09-11;Normandie;99900.0;47.0;2.0;2332.0
2021-09-13;Normandie;149968.0;65.0;3.0;2324.0
2021-09-14;Normandie;111979.0;55.0;3.0;2075.0
2021-09-15;Normandie;164624.0;50.0;2.0;3595.0
2021-09-16;Normandie;161536.0;63.0;3.0;2724.0
2021-09-17;Normandie;154161.0;56.0;3.0;2571.0
2021-09-18;Normandie;177050.0;37.0;2.0;4505.0
2021-09-20;Normandie;126380.0;59.0;3.0;2234.0
2021-09-21;Normandie;159949.0;60.0;3.0;2868.0
2021-09-22;Normandie;152088.0;58.0;3.0;2693.0
2021-09-23;Normandie;117825.0;58.0;3.0;2167.0
2021-09-24;Normandie;130789.0;57.0;3.0;2703.0
2021-09-25;Normandie;120270.0;30.0;2.0;3945.0
2021-09-27;Normandie;128771.0;45.0;2.0;3895.0
2021-09-28;Normandie;144877.0;50.0;2.0;3343.0
2021-09-29;Normandie;139831.0;54.0;3.0;2753.0
2021-09-30;Normandie;183663.0;49.0;2.0;5753.0
2021-10-01;Normandie;161924.0;50.0;2.0;3689.0
2021-10-02;Normandie;168500.0;41.0;3.0;4110.0
2021-10-04;Normandie;162270.0;59.0;3.0;3229.0
2021-10-05;Normandie;126301.0;61.0;3.0;2028.0
2021-10-06;Normandie;178887.0;57.0;2.0;2869.0
2021-10-07;Normandie;369304.0;64.0;3.0;7084.0
2021-10-08;Normandie;116569.0;55.0;3.0;2531.0
2021-10-09;Normandie;138375.0;22.0;1.0;7060.0
2021-10-11;Normandie;199368.0;67.0;3.0;2857.0
2021-10-12;Normandie;179872.0;57.0;3.0;3398.0
2021-10-13;Normandie;138360.0;61.0;3.0;2345.0
2021-10-14;Normandie;120829.0;48.0;2.0;2671.0
2021-10-15;Normandie;168216.0;53.0;2.0;3516.0
2021-10-16;Normandie;130918.0;62.0;4.0;2554.0
2021-10-18;Normandie;156643.0;75.0;3.0;2653.0
2021-10-19;Normandie;103691.0;46.0;2.0;2463.0
2021-10-20;Normandie;98566.0;59.0;3.0;1911.0
2021-10-21;Normandie;135900.0;53.0;2.0;2421.0
2021-10-22;Normandie;212573.0;56.0;3.0;4738.0
2021-10-23;Normandie;162400.0;39.0;2.0;4220.0
2021-10-25;Normandie;301645.0;69.0;3.0;4649.0
2021-10-26;Normandie;96180.0;43.0;2.0;2189.0
2021-10-27;Normandie;89733.0;52.0;3.0;1797.0
2021-10-28;Normandie;135232.0;59.0;3.0;2414.0
2021-10-29;Normandie;226573.0;72.0;3.0;2935.0
2021-11-02;Normandie;167760.0;51.0;2.0;3103.0
2021-11-03;Normandie;103312.0;49.0;2.0;2511.0
2021-11-04;Normandie;102742.0;46.0;2.0;2451.0
2021-11-05;Normandie;173969.0;63.0;3.0;2482.0
2021-11-06;Normandie;110620.0;63.0;4.0;1756.0
2021-11-08;Normandie;117645.0;58.0;3.0;2067.0
2021-11-09;Normandie;101023.0;57.0;3.0;1792.0
2021-11-10;Normandie;116850.0;39.0;2.0;3396.0
2021-11-12;Normandie;101910.0;36.0;2.0;3056.0
2021-11-13;Normandie;310000.0;66.0;2.0;4697.0
2021-11-15;Normandie;188586.0;67.0;3.0;2691.0
2021-11-16;Normandie;167665.0;47.0;2.0;3933.0
